"Class","x","y"
2,0.655967,0.352913
3,0.273003,0.173877
3,0.390791,0.152117
1,0.442979,0.43775
3,0.153619,0.313116
4,0.735958,0.859367
3,0.185499,0.196447
2,0.407989,0.61597
2,0.516322,0.366086
2,0.716139,0.55416
2,0.307931,0.346613
2,0.740656,0.441966
3,0.780288,0.337945
4,0.29064,0.844469
1,0.46745,0.402834
2,0.719704,0.389626
2,0.306546,0.531328
4,0.377286,0.861022
1,0.480656,0.424359
4,0.736663,0.942285
3,0.617091,0.138441
4,0.680774,0.962506
2,0.638219,0.639626
2,0.246341,0.382381
1,0.463624,0.512493
2,0.756266,0.415723
1,0.436159,0.514661
3,0.581263,0.147453
2,0.271573,0.534863
2,0.649218,0.295771
1,0.435667,0.48059
3,0.499563,0.104532
4,0.467961,0.879231
2,0.171754,0.362775
3,0.420817,0.129151
4,0.110264,0.923124
2,0.620837,0.593107
4,0.880083,0.909545
1,0.549523,0.43187
1,0.500372,0.471478
3,0.554387,0.147436
4,0.617499,0.935749
4,0.191108,0.956873
2,0.228175,0.627624
2,0.724179,0.514534
3,0.158744,0.222199
4,0.172766,0.898444
3,0.529726,0.13178
3,0.654007,0.182788
3,0.166408,0.220687
1,0.49922,0.509841
4,0.857994,0.886484
2,0.234854,0.396577
4,0.240265,0.877575
2,0.760484,0.495732
2,0.240584,0.508085
1,0.494233,0.440489
3,0.157646,0.225609
2,0.394426,0.617127
4,0.474484,0.96956
2,0.357336,0.553355
4,0.170373,0.946217
4,0.117668,0.954781
2,0.488422,0.27971
2,0.726722,0.47857
2,0.441766,0.571344
2,0.555807,0.265144
2,0.359945,0.348369
4,0.689512,0.926802
3,0.819227,0.319223
2,0.296278,0.525037
4,0.125409,0.811363
2,0.455817,0.266207
2,0.530427,0.799776
3,0.0879505,0.313438
3,0.128458,0.268602
4,0.759873,0.930992
2,0.483351,0.25044
3,0.822942,0.32787
4,0.61352,0.955839
3,0.201979,0.266767
2,0.363174,0.675132
4,0.100161,0.907289
4,0.245444,0.918688
2,0.686596,0.592076
2,0.413381,0.258667
2,0.232427,0.473806
1,0.463273,0.467835
3,0.697497,0.162407
2,0.19912,0.443516
1,0.440649,0.461358
2,0.534313,0.643698
2,0.689613,0.774946
1,0.452956,0.460884
2,0.794394,0.582931
2,0.662894,0.540304
4,0.922338,0.860676
2,0.37104,0.641622
4,0.0711625,0.875809
3,0.684707,0.179949
4,0.774243,0.745151
4,0.251358,0.922231
2,0.29064,0.769981
2,0.625132,0.703768
4,0.139297,0.946775
2,0.241615,0.524364
2,0.661949,0.324226
2,0.57776,0.282063
2,0.329341,0.637397
3,0.666189,0.157473
3,0.292939,0.145265
2,0.649156,0.532605
2,0.739459,0.545354
4,0.737115,0.910589
1,0.456914,0.479245
4,0.551662,0.97465
2,0.610966,0.264074
2,0.355408,0.629678
2,0.222421,0.478312
2,0.469311,0.653739
4,0.803088,0.950171
2,0.695052,0.593167
1,0.578787,0.397537
4,0.95378,0.842727
2,0.322014,0.539074
3,0.375271,0.127048
4,0.110779,0.8816
4,0.279783,0.968927
3,0.307962,0.135699
3,0.117349,0.354499
2,0.353105,0.473681
1,0.509419,0.459892
3,0.757157,0.218419
2,0.615057,0.755083
2,0.343952,0.316426
2,0.528184,0.316234
2,0.318612,0.505394
3,0.385614,0.148878
3,0.773556,0.229124
2,0.689696,0.538027
2,0.53176,0.66062
2,0.366414,0.276773
2,0.354976,0.270032
2,0.259229,0.57955
3,0.812812,0.299679
2,0.417869,0.312537
3,0.726177,0.197929
2,0.34706,0.223729
4,0.297642,0.925663
4,0.810514,0.846125
2,0.301166,0.302604
4,0.80705,0.91353
2,0.338738,0.621563
3,0.127651,0.227757
4,0.419601,0.803087
3,0.798041,0.24198
2,0.59772,0.620518
2,0.702352,0.430279
1,0.380987,0.456512
4,0.534457,0.836193
1,0.499843,0.470697
1,0.464156,0.447795
2,0.704168,0.643067
2,0.719838,0.720321
3,0.357145,0.124431
3,0.761811,0.217357
2,0.597656,0.242073
3,0.0885314,0.315971
3,0.370054,0.146953
3,0.500202,0.228695
2,0.284418,0.345287
2,0.66558,0.656265
1,0.501079,0.470929
4,0.2987,0.736874
3,0.585543,0.0982228
4,0.0312498,0.905607
4,0.679538,0.745151
4,0.131223,0.901049
4,0.804688,0.924272
4,0.482066,0.761704
2,0.37552,0.272987
1,0.395421,0.380983
2,0.631663,0.599485
4,0.107139,0.872304
4,0.666645,0.929823
3,0.835905,0.287848
1,0.514508,0.39594
2,0.575089,0.605086
2,0.253129,0.438456
3,0.408585,0.149042
4,0.947973,0.844223
1,0.495499,0.485738
4,0.461387,0.935857
2,0.756108,0.304839
2,0.284082,0.384903
4,0.425086,0.94532
4,0.0376181,0.866434
3,0.389376,0.215453
4,0.3743,0.978304
1,0.412026,0.485254
4,0.73087,0.949745
4,0.488287,0.978703
3,0.277307,0.162173
4,0.189627,0.931932
4,0.424117,0.966264
3,0.427745,0.142542
3,0.351367,0.157301
2,0.302904,0.596879
3,0.278224,0.177106
1,0.484081,0.582931
3,0.524382,0.182347
4,0.917336,0.871343
4,0.644085,0.967374
2,0.343576,0.580457
2,0.520352,0.728598
2,0.752077,0.49152
3,0.709307,0.188655
3,0.137069,0.275036
4,0.618317,0.940125
4,0.572184,0.931359
3,0.196361,0.21339
2,0.367211,0.774946
2,0.589745,0.247631
1,0.447849,0.442219
1,0.427685,0.472421
2,0.726194,0.517158
1,0.49684,0.448941
3,0.388656,0.132677
1,0.469048,0.472842
2,0.27866,0.457575
3,0.671008,0.152776
2,0.707544,0.336927
1,0.414123,0.434584
2,0.348347,0.339336
1,0.466668,0.444842
3,0.197949,0.328014
3,0.785124,0.22201
3,0.67204,0.144078
3,0.633867,0.166461
2,0.437736,0.743496
2,0.206009,0.564722
4,0.952177,0.799551
2,0.537148,0.244545
1,0.43455,0.513008
2,0.590877,0.200555
4,0.21004,0.846125
1,0.456675,0.478299
2,0.682419,0.43141
4,0.691146,0.95054
2,0.687759,0.518885
4,0.944477,0.83522
2,0.326997,0.612528
4,0.816259,0.893678
1,0.46613,0.407114
1,0.382118,0.459094
3,0.450433,0.135314
3,0.247017,0.159214
4,0.453251,0.97523
3,0.499186,0.13393
2,0.381118,0.654095
4,0.901687,0.910709
3,0.444275,0.1056
2,0.218657,0.435433
3,0.421616,0.188968
4,0.762153,0.798121
4,0.701935,0.973502
2,0.731008,0.387833
2,0.561891,0.334471
2,0.587204,0.616772
3,0.763809,0.213335
4,0.940904,0.850352
2,0.261384,0.493081
1,0.339,0.44223
4,0.309674,0.933905
4,0.671361,0.9347
3,0.582718,0.13027
2,0.606261,0.64235
4,0.154148,0.913997
1,0.479463,0.450014
2,0.469321,0.633712
3,0.262841,0.141074
3,0.201325,0.194618
1,0.435051,0.457801
3,0.777434,0.201683
2,0.331648,0.638545
2,0.251315,0.417366
2,0.344104,0.267153
3,0.198842,0.211317
4,0.714114,0.935942
3,0.649426,0.145889
3,0.712469,0.179527
2,0.691838,0.521525
2,0.521899,0.679583
3,0.836826,0.260832
3,0.618942,0.141468
3,0.261705,0.203924
3,0.0987586,0.323939
2,0.593017,0.255871
1,0.518742,0.440274
2,0.689146,0.510364
1,0.517421,0.502103
1,0.494392,0.47258
1,0.48809,0.50492
2,0.260949,0.2888
2,0.678318,0.396862
2,0.453387,0.625816
2,0.439797,0.256994
3,0.807651,0.29647
4,0.0519136,0.864757
2,0.556227,0.258424
4,0.577014,0.964768
2,0.450631,0.680784
1,0.463931,0.357809
3,0.308329,0.119938
4,0.913611,0.848891
3,0.106089,0.269092
4,0.494942,0.965373
1,0.52878,0.443882
4,0.854602,0.908954
4,0.40961,0.98667
3,0.141597,0.257086
3,0.196962,0.214196
3,0.483504,0.130003
3,0.839759,0.30076
1,0.535993,0.527775
2,0.226226,0.38659
1,0.490685,0.476622
2,0.21004,0.30815
1,0.485195,0.452209
2,0.660205,0.487739
4,0.512262,0.973303
2,0.681013,0.321462
1,0.423613,0.449012
1,0.606997,0.465404
2,0.354121,0.318714
2,0.663847,0.307696
2,0.287381,0.54657
2,0.621258,0.634257
4,0.0386708,0.867444
4,0.844769,0.803087
2,0.554383,0.584095
2,0.310722,0.35493
2,0.744608,0.367756
4,0.332955,0.894129
3,0.225087,0.148665
3,0.615938,0.114332
4,0.807622,0.900519
3,0.554831,0.105891
2,0.707814,0.392169
4,0.0340355,0.899442
3,0.582338,0.139219
4,0.717633,0.930014
2,0.542897,0.638078
2,0.715576,0.646139
2,0.606233,0.289013
4,0.621102,0.862678
3,0.35973,0.141776
3,0.703181,0.13178
3,0.798541,0.249077
3,0.246451,0.187892
3,0.711914,0.198849
4,0.233529,0.948479
2,0.408605,0.611933
4,0.353779,0.940091
4,0.856171,0.899829
1,0.436457,0.440818
4,0.302984,0.945963
2,0.562667,0.544859
2,0.627359,0.558033
3,0.33812,0.181186
1,0.52412,0.435325
4,0.528412,0.909026
3,0.647603,0.127921
1,0.46883,0.453062
1,0.463121,0.417698
3,0.717823,0.294907
4,0.701411,0.935905
4,0.22616,0.774946
2,0.559849,0.626621
4,0.623117,0.798121
4,0.780052,0.931931
3,0.633165,0.16622
2,0.739128,0.619844
4,0.877864,0.914132
2,0.703718,0.250214
4,0.761897,0.96271
1,0.425646,0.55148
1,0.545977,0.488673
1,0.471513,0.493218
2,0.718627,0.478934
3,0.824577,0.318541
2,0.412763,0.307105
1,0.534091,0.418171
4,0.915247,0.884812
4,0.375248,0.929905
4,0.514669,0.968595
2,0.806484,0.520029
2,0.67479,0.358193
2,0.594907,0.433953
2,0.2966,0.339919
4,0.763179,0.909037
3,0.197238,0.20863
2,0.349743,0.301525
2,0.264445,0.712045
2,0.424027,0.664297
4,0.229125,0.915615
3,0.28661,0.233661
3,0.532047,0.132237
2,0.332955,0.717011
1,0.447706,0.437117
2,0.377361,0.617289
4,0.677523,0.877575
3,0.682107,0.172824
2,0.395421,0.402502
2,0.222795,0.476082
1,0.590877,0.520029
2,0.330804,0.36734
4,0.903342,0.873043
3,0.653343,0.225385
2,0.313876,0.617814
2,0.806484,0.639211
3,0.341734,0.141068
2,0.581789,0.281589
1,0.381219,0.503413
1,0.480145,0.462341
3,0.808122,0.271734
2,0.719677,0.633661
2,0.720827,0.435163
1,0.474425,0.508923
2,0.451841,0.197244
3,0.759203,0.234068
3,0.768198,0.275044
