Class,x,y
1,-7.660,-9.200
1,-6.690,-8.810
1,-6.390,-8.840
1,-4.980,-9.020
1,-4.240,-7.710
1,-4.820,-7.790
1,-2.750,-5.910
1,-2.620,-5.720
1,-1.810,-5.270
1,-0.542,-5.930
1,-0.336,-4.720
1,-0.314,-4.170
1,0.182,-4.260
1,1.130,-1.930
1,1.570,-2.490
1,1.760,-2.070
1,3.080,-1.730
1,3.090,-0.741
1,3.390,-0.338
1,5.080,0.860
2,-2.060,4.860
2,-0.619,3.110
2,-1.320,3.280
2,0.830,3.160
2,0.525,3.930
2,1.810,1.220
2,2.560,2.750
2,3.230,2.440
2,3.770,1.060
2,4.300,1.030
2,4.670,0.570
2,6.280,1.170
2,6.430,0.431
2,7.430,1.260
2,6.900,0.554
2,8.550,-1.140
2,8.390,-0.788
2,10.500,-0.225
2,10.500,-0.094
2,12.700,-0.749
3,-2.470,-3.290
3,-1.730,-2.660
3,-2.740,-4.210
3,-1.090,-2.650
3,-2.560,0.664
3,-2.440,0.548
3,-3.710,-0.387
3,-3.210,2.220
3,-3.200,1.810
3,-2.970,3.790
3,-4.120,3.130
3,-3.810,5.380
3,-3.280,6.820
3,-2.940,6.240
3,-2.850,7.190
3,-4.200,8.270
3,-4.310,8.450
3,-3.140,9.360
3,-4.600,9.920
3,-3.550,10.700
