Class,x,y
1,0.441308,0.829716
1,0.434323,0.77912
1,0.340328,0.801929
1,0.464702,0.819946
1,0.377799,0.823118
1,0.397332,0.781577
1,0.359681,0.834571
1,0.459797,0.774824
1,0.375801,0.837787
1,0.363236,0.752193
1,0.42573,0.799123
1,0.444608,0.749056
1,0.36265,0.730943
1,0.293306,0.802703
1,0.404477,0.768974
1,0.311294,0.793566
1,0.347413,0.720042
1,0.366919,0.716976
1,0.359092,0.919218
2,0.886044,0.599014
2,0.925234,0.62583
2,0.882471,0.610477
2,0.882487,0.541214
2,0.894238,0.610706
2,0.913244,0.567603
2,0.844092,0.672347
2,0.836433,0.54546
2,0.888899,0.638931
2,0.84895,0.742531
2,0.82994,0.684445
2,0.801716,0.705675
2,0.838136,0.596058
2,0.73203,0.560463
2,0.862469,0.673884
2,0.829956,0.631544
2,0.907294,0.465801
2,0.921056,0.493013
1,0.254218,0.838163
1,0.224714,0.78681
1,0.343686,0.839211
3,0.194699,0.390184
3,0.142284,0.499771
3,0.181133,0.413863
3,0.209058,0.435922
3,0.131369,0.42807
3,0.116028,0.306294
3,0.0913861,0.334975
3,0.0554514,0.407575
3,0.120959,0.44287
3,0.191683,0.380448
3,0.218318,0.497257
3,0.139594,0.346797
3,0.149003,0.370928
3,0.160172,0.389147
3,0.183337,0.342811
3,0.164861,0.405834
3,0.192161,0.302008
3,0.23481,0.399642
3,0.255769,0.351294
4,0.696269,0.0451432
4,0.615689,0.117169
4,0.732183,0.088355
4,0.717829,0.149829
4,0.608134,0.152616
4,0.701133,0.110787
4,0.695892,0.159784
4,0.680173,0.129271
4,0.723675,0.159956
4,0.647928,0.249175
4,0.637415,0.0892666
4,0.613712,0.0766657
4,0.744075,0.158834
4,0.756395,0.192787
4,0.593408,0.0924363
4,0.691345,0.112834
1,0.538637,0.745294
1,0.554071,0.788341
2,0.863686,0.638917
2,0.790774,0.484792
2,0.913763,0.521459
2,0.783618,0.73957
2,0.719782,0.554685
2,0.815409,0.566589
4,0.585741,0.141376
4,0.517224,0.190538
4,0.499227,0.0754257
4,0.477499,0.0855609
4,0.448912,0.0979651
4,0.576278,0.20298
4,0.543459,0.192511
4,0.479209,0.0786433
4,0.695994,0.126022
4,0.619875,0.154151
4,0.447813,0.0981519
4,0.542517,0.122756
4,0.516322,0.137653
3,0.268475,0.457128
3,0.29467,0.412434
2,0.766183,0.614382
2,0.852829,0.483612
